customer_id,customer_name,gender,region,join_date
1,Customer_1,Male,North,2023-07-18
2,Customer_2,Male,South,2022-10-13
3,Customer_3,Male,Central,2022-06-28
4,Customer_4,Female,North,2022-03-03
5,Customer_5,Male,South,2023-04-22
6,Customer_6,Male,Central,2023-02-12
7,Customer_7,Female,South,2024-07-08
8,Customer_8,Female,North,2022-11-23
9,Customer_9,Female,East,2023-07-24
10,Customer_10,Male,South,2023-11-21
11,Customer_11,Male,North,2024-02-18
12,Customer_12,Male,East,2023-12-06
13,Customer_13,Female,North,2024-07-29
14,Customer_14,Male,West,2022-06-11
15,Customer_15,Female,Central,2024-01-11
16,Customer_16,Male,North,2022-04-04
17,Customer_17,Male,East,2022-06-13
18,Customer_18,Male,North,2024-02-18
19,Customer_19,Female,West,2024-01-18
20,Customer_20,Male,East,2023-12-29
21,Customer_21,Male,East,2022-05-27
22,Customer_22,Male,Central,2023-05-17
23,Customer_23,Male,West,2024-02-17
24,Customer_24,Female,Central,2023-03-26
25,Customer_25,Female,North,2023-04-15
26,Customer_26,Male,East,2024-04-01
27,Customer_27,Female,North,2023-03-09
28,Customer_28,Female,South,2024-10-19
29,Customer_29,Female,West,2022-10-20
30,Customer_30,Female,South,2023-05-21
31,Customer_31,Female,Central,2024-05-27
32,Customer_32,Female,East,2023-03-26
33,Customer_33,Male,Central,2024-10-07
34,Customer_34,Male,North,2022-08-13
35,Customer_35,Male,South,2024-05-14
36,Customer_36,Male,West,2024-02-21
37,Customer_37,Female,Central,2023-05-30
38,Customer_38,Male,North,2025-01-04
39,Customer_39,Female,East,2022-08-17
40,Customer_40,Female,West,2022-11-20
41,Customer_41,Female,North,2023-06-24
42,Customer_42,Male,Central,2022-08-06
43,Customer_43,Female,Central,2023-02-12
44,Customer_44,Male,East,2022-11-27
45,Customer_45,Male,Central,2023-10-26
46,Customer_46,Female,North,2022-08-18
47,Customer_47,Female,East,2023-05-06
48,Customer_48,Male,South,2022-06-11
49,Customer_49,Male,West,2022-05-22
50,Customer_50,Male,South,2024-08-31
51,Customer_51,Male,East,2024-12-16
52,Customer_52,Female,South,2023-02-16
53,Customer_53,Female,West,2024-02-04
54,Customer_54,Female,Central,2024-07-13
55,Customer_55,Male,South,2023-04-06
56,Customer_56,Male,East,2022-02-13
57,Customer_57,Male,Central,2023-03-28
58,Customer_58,Male,North,2022-05-01
59,Customer_59,Male,North,2022-03-06
60,Customer_60,Female,North,2024-11-18
61,Customer_61,Male,East,2024-09-21
62,Customer_62,Male,Central,2022-09-28
63,Customer_63,Female,South,2024-08-26
64,Customer_64,Female,South,2022-07-13
65,Customer_65,Male,West,2023-12-27
66,Customer_66,Female,West,2024-08-14
67,Customer_67,Male,North,2022-05-05
68,Customer_68,Female,East,2022-08-12
69,Customer_69,Male,South,2023-01-25
70,Customer_70,Female,South,2024-05-14
71,Customer_71,Male,East,2024-08-05
72,Customer_72,Male,North,2024-06-26
73,Customer_73,Male,North,2022-01-31
74,Customer_74,Male,South,2022-12-07
75,Customer_75,Female,West,2024-09-12
76,Customer_76,Male,West,2022-05-01
77,Customer_77,Male,West,2022-01-05
78,Customer_78,Female,East,2024-07-20
79,Customer_79,Female,West,2024-09-23
80,Customer_80,Male,South,2023-08-31
81,Customer_81,Male,North,2022-05-05
82,Customer_82,Female,North,2022-04-13
83,Customer_83,Female,Central,2024-12-23
84,Customer_84,Male,North,2024-11-06
85,Customer_85,Male,South,2022-05-21
86,Customer_86,Male,South,2024-04-06
87,Customer_87,Male,Central,2023-05-20
88,Customer_88,Male,Central,2022-06-17
89,Customer_89,Female,Central,2024-12-06
90,Customer_90,Female,East,2023-02-23
91,Customer_91,Female,South,2023-06-28
92,Customer_92,Female,South,2023-09-07
93,Customer_93,Female,East,2022-05-29
94,Customer_94,Male,West,2022-07-24
95,Customer_95,Male,Central,2023-03-13
96,Customer_96,Female,South,2023-12-16
97,Customer_97,Male,South,2024-01-27
98,Customer_98,Female,South,2024-06-16
99,Customer_99,Female,Central,2024-12-19
100,Customer_100,Male,Central,2023-09-06
101,Customer_101,Male,South,2023-06-26
102,Customer_102,Male,North,2022-11-15
103,Customer_103,Female,East,2023-03-08
104,Customer_104,Female,South,2023-06-25
105,Customer_105,Female,East,2022-04-15
106,Customer_106,Male,West,2023-07-21
107,Customer_107,Male,North,2023-11-15
108,Customer_108,Male,East,2022-11-27
109,Customer_109,Female,Central,2024-05-25
110,Customer_110,Male,North,2022-06-04
111,Customer_111,Male,Central,2022-03-15
112,Customer_112,Female,Central,2022-10-31
113,Customer_113,Female,South,2022-03-27
114,Customer_114,Female,East,2022-03-23
115,Customer_115,Female,South,2023-05-27
116,Customer_116,Male,East,2024-04-12
117,Customer_117,Male,South,2022-11-29
118,Customer_118,Male,West,2022-02-20
119,Customer_119,Male,East,2024-04-23
120,Customer_120,Male,East,2022-11-23
121,Customer_121,Male,West,2022-03-21
122,Customer_122,Female,South,2023-02-13
123,Customer_123,Female,East,2023-09-18
124,Customer_124,Male,South,2022-02-18
125,Customer_125,Male,West,2023-11-04
126,Customer_126,Female,North,2023-07-26
127,Customer_127,Female,Central,2024-03-29
128,Customer_128,Female,North,2022-08-25
129,Customer_129,Female,South,2023-06-28
130,Customer_130,Male,North,2024-06-08
131,Customer_131,Female,East,2024-06-12
132,Customer_132,Male,West,2023-01-25
133,Customer_133,Female,North,2024-06-12
134,Customer_134,Male,Central,2023-02-08
135,Customer_135,Female,West,2022-05-24
136,Customer_136,Female,Central,2023-10-05
137,Customer_137,Male,East,2024-11-04
138,Customer_138,Female,West,2023-10-31
139,Customer_139,Female,East,2022-09-18
140,Customer_140,Male,West,2024-02-16
141,Customer_141,Male,Central,2023-09-09
142,Customer_142,Female,Central,2022-01-01
143,Customer_143,Female,East,2023-03-07
144,Customer_144,Female,Central,2023-10-22
145,Customer_145,Female,West,2024-06-24
146,Customer_146,Male,Central,2024-08-27
147,Customer_147,Male,North,2023-08-05
148,Customer_148,Female,North,2023-04-27
149,Customer_149,Female,South,2023-02-12
150,Customer_150,Male,North,2022-04-05
151,Customer_151,Male,West,2022-05-30
152,Customer_152,Female,West,2023-02-03
153,Customer_153,Female,West,2024-03-29
154,Customer_154,Male,South,2022-01-12
155,Customer_155,Male,West,2023-03-25
156,Customer_156,Male,Central,2024-08-09
157,Customer_157,Male,Central,2023-05-26
158,Customer_158,Male,West,2022-10-01
159,Customer_159,Female,Central,2023-10-12
160,Customer_160,Female,Central,2024-10-30
161,Customer_161,Female,Central,2024-07-02
162,Customer_162,Male,West,2024-07-10
163,Customer_163,Female,South,2023-07-22
164,Customer_164,Female,South,2023-07-17
165,Customer_165,Female,North,2023-08-09
166,Customer_166,Male,East,2023-11-19
167,Customer_167,Female,Central,2022-06-15
168,Customer_168,Male,South,2023-04-19
169,Customer_169,Female,South,2023-03-15
170,Customer_170,Male,West,2024-04-14
171,Customer_171,Female,Central,2024-08-12
172,Customer_172,Female,North,2023-02-28
173,Customer_173,Female,West,2022-02-10
174,Customer_174,Female,West,2022-01-13
175,Customer_175,Female,East,2024-03-09
176,Customer_176,Female,Central,2023-03-28
177,Customer_177,Female,South,2023-07-13
178,Customer_178,Female,West,2022-03-01
179,Customer_179,Female,East,2024-04-08
180,Customer_180,Male,West,2022-09-19
181,Customer_181,Male,West,2022-02-25
182,Customer_182,Male,West,2022-10-05
183,Customer_183,Female,South,2022-04-13
184,Customer_184,Female,West,2023-11-02
185,Customer_185,Male,West,2023-11-01
186,Customer_186,Female,West,2023-07-24
187,Customer_187,Female,East,2022-06-17
188,Customer_188,Female,North,2022-04-17
189,Customer_189,Female,South,2022-05-21
190,Customer_190,Male,North,2023-05-22
191,Customer_191,Male,North,2022-11-09
192,Customer_192,Male,South,2024-08-27
193,Customer_193,Male,Central,2023-03-23
194,Customer_194,Female,East,2024-01-26
195,Customer_195,Male,Central,2022-08-23
196,Customer_196,Male,East,2022-08-10
197,Customer_197,Male,East,2024-02-08
198,Customer_198,Female,South,2022-06-05
199,Customer_199,Male,North,2023-09-10
200,Customer_200,Male,Central,2022-03-26
201,Customer_201,Female,Central,2024-05-27
202,Customer_202,Female,North,2024-11-02
203,Customer_203,Female,North,2024-05-10
204,Customer_204,Female,North,2024-06-06
205,Customer_205,Female,West,2022-11-10
206,Customer_206,Female,South,2024-12-04
207,Customer_207,Female,Central,2024-09-17
208,Customer_208,Female,West,2023-07-04
209,Customer_209,Female,South,2022-06-27
210,Customer_210,Female,West,2023-05-15
211,Customer_211,Female,Central,2024-02-16
212,Customer_212,Female,North,2024-10-09
213,Customer_213,Female,South,2024-09-25
214,Customer_214,Male,East,2023-06-14
215,Customer_215,Female,East,2023-07-20
216,Customer_216,Male,Central,2023-01-27
217,Customer_217,Male,South,2024-04-12
218,Customer_218,Female,Central,2023-05-08
219,Customer_219,Female,West,2024-07-06
220,Customer_220,Male,North,2023-08-26
221,Customer_221,Male,West,2023-05-14
222,Customer_222,Female,Central,2024-01-26
223,Customer_223,Female,Central,2024-12-23
224,Customer_224,Female,West,2023-11-09
225,Customer_225,Female,West,2023-07-09
226,Customer_226,Female,East,2023-04-18
227,Customer_227,Male,South,2023-10-09
228,Customer_228,Male,Central,2023-01-15
229,Customer_229,Male,South,2024-09-18
230,Customer_230,Female,Central,2024-12-10
231,Customer_231,Female,North,2023-02-02
232,Customer_232,Female,South,2024-01-10
233,Customer_233,Male,East,2022-01-29
234,Customer_234,Male,East,2022-04-04
235,Customer_235,Male,Central,2023-08-22
236,Customer_236,Male,West,2022-07-30
237,Customer_237,Male,Central,2023-08-06
238,Customer_238,Female,West,2024-06-21
239,Customer_239,Female,South,2022-04-16
240,Customer_240,Female,West,2022-08-22
241,Customer_241,Male,West,2024-10-04
242,Customer_242,Male,Central,2022-04-20
243,Customer_243,Male,South,2023-09-15
244,Customer_244,Male,South,2022-08-31
245,Customer_245,Female,Central,2023-04-08
246,Customer_246,Female,West,2024-06-25
247,Customer_247,Female,Central,2024-05-28
248,Customer_248,Female,Central,2022-05-04
249,Customer_249,Male,South,2023-03-09
250,Customer_250,Female,North,2022-11-18
251,Customer_251,Male,South,2022-06-03
252,Customer_252,Male,North,2024-04-16
253,Customer_253,Female,Central,2024-08-20
254,Customer_254,Female,North,2023-04-20
255,Customer_255,Female,East,2024-07-18
256,Customer_256,Male,South,2023-06-26
257,Customer_257,Male,West,2022-08-24
258,Customer_258,Male,South,2023-06-29
259,Customer_259,Male,North,2022-05-03
260,Customer_260,Male,East,2023-08-15
261,Customer_261,Female,North,2024-08-17
262,Customer_262,Female,West,2023-07-12
263,Customer_263,Female,West,2022-06-14
264,Customer_264,Male,West,2023-10-23
265,Customer_265,Female,North,2022-07-07
266,Customer_266,Male,Central,2022-02-12
267,Customer_267,Female,Central,2022-03-24
268,Customer_268,Male,West,2024-11-28
269,Customer_269,Female,East,2023-01-07
270,Customer_270,Female,West,2022-07-06
271,Customer_271,Female,East,2024-04-16
272,Customer_272,Female,East,2022-08-03
273,Customer_273,Male,East,2024-04-23
274,Customer_274,Female,East,2024-03-31
275,Customer_275,Male,West,2022-06-30
276,Customer_276,Female,East,2023-10-25
277,Customer_277,Male,West,2024-11-19
278,Customer_278,Male,Central,2024-08-04
